probe	GC	102-11C_S3_L001_coverage	126-11c_S9_L001_coverage	1ES86798_S2_L001_coverage	1EV02973_S11_L001_coverage	1EV02981_S8_L001_coverage	2KK58589_S7_L001_coverage	2KR049010_S2_L001_coverage	512022_S1_L001_coverage	BL37577_S10_L001_coverage	BL37590_S4_L001_coverage	C00413_S5_L001_coverage	C00434_S6_L001_coverage	CC50362-2_S1_L001_coverage	CC50362-3_S4_L001_coverage	IMIN44_S12_L001_coverage	Undetermined_S0_L001_coverage	ZL10_S3_L001_coverage
HtScaffold0001:20888-21007	31.6	100	100	0	0	0	0	17.5	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:21008-21127	32.5	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:21128-21247	29.1	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:21248-21367	25.8	100	100	0	0	0	0	100	0	0	0	20.8333	100	0	0	0	100	0
HtScaffold0001:21368-21487	23.3	100	100	0	0	0	0	75	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:21488-21607	30.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:21608-21727	38.3	100	100	0	0	0	0	55.8333	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:21728-21847	27.5	100	100	0	0	0	0	100	0	0	0	65	100	0	0	0	100	0
HtScaffold0001:21848-21967	35.0	100	100	0	0	0	0	17.5	0	0	0	91.6667	100	0	0	0	100	0
HtScaffold0001:21968-22087	37.5	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:22088-22207	32.5	100	100	0	0	0	0	0	0	0	0	26.6667	100	0	0	0	100	0
HtScaffold0001:22208-22327	22.5	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:22328-22447	23.3	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:22438-22557	23.3	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	45.8333	0
HtScaffold0001:48556-48675	32.5	100	100	0	0	0	0	93.3333	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:48676-48795	29.1	100	100	0	0	0	0	100	0	0	0	0	100	0	64.1667	0	100	0
HtScaffold0001:48796-48915	28.3	100	100	0	0	0	0	100	0	0	0	0	100	0	100	0	100	0
HtScaffold0001:48916-49035	28.3	100	100	0	0	0	0	100	0	0	0	57.5	100	0	10	0	100	0
HtScaffold0001:49036-49155	25.8	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:49156-49275	25.8	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:49276-49395	44.1	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:49302-49421	39.1	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:50663-50782	36.6	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:50783-50902	41.6	100	100	0	0	0	0	100	12.5	0	0	100	100	27.5	41.6667	0	100	0
HtScaffold0001:50903-51022	34.1	100	100	60.8333	0	62.5	0	100	100	0	71.6667	100	100	100	100	0	100	0
HtScaffold0001:51023-51142	31.6	100	100	89.1667	0	87.5	0	100	76.6667	0	90	72.5	100	88.3333	90	0	100	0
HtScaffold0001:51143-51262	33.3	100	100	0	0	0	0	100	25.8333	0	0	91.6667	100	0	0	0	100	0
HtScaffold0001:51263-51382	34.1	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:51265-51384	34.1	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:51702-51821	33.3	100	100	0	0	0	0	0	93.3333	0	0	0	100	0	0	0	100	0
HtScaffold0001:51822-51941	40.0	100	100	0	0	0	0	0	71.6667	0	0	57.5	100	0	0	25.8333	100	0
HtScaffold0001:51942-52061	37.5	100	100	0	0	0	0	0	21.6667	0	0	100	100	0	0	100	100	0
HtScaffold0001:52062-52181	35.0	100	100	0	0	0	0	0	0	0	0	100	100	0	0	100	100	0
HtScaffold0001:52182-52301	31.6	100	100	0	0	0	0	0	0	0	0	100	100	0	0	15.8333	100	0
HtScaffold0001:52302-52421	31.6	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:52422-52541	30.8	100	100	0	0	0	0	90.8333	0	0	0	67.5	100	0	0	0	100	0
HtScaffold0001:52517-52636	35.8	100	100	0	0	0	0	19.1667	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:55494-55613	35.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:55614-55733	28.3	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:55665-55784	31.6	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:56274-56393	25.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:56281-56400	26.6	100	100	0	0	0	0	0	0	0	0	95	100	0	0	0	100	0
HtScaffold0001:56724-56843	34.1	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
HtScaffold0001:60338-60457	40.8	100	100	0	0	0	0	100	80.8333	0	0	100	100	90	0	0	100	0
HtScaffold0001:60763-60882	44.1	100	100	0	0	0	0	100	0	0	65.8333	0	100	0	0	0	100	0
HtScaffold0001:60780-60899	44.1	100	100	0	0	0	0	100	0	0	80	0	100	0	0	0	100	0
HtScaffold0001:61069-61188	38.3	100	100	100	0	100	88.3333	100	95.8333	0	100	0	100	100	100	0	100	0
HtScaffold0001:61189-61308	35.0	100	100	95.8333	0	100	100	100	27.5	0	100	0	100	100	100	0	100	0
HtScaffold0001:61309-61428	40.8	100	100	0	0	6.66667	45.8333	100	100	0	100	0	100	100	89.1667	0	100	0
HtScaffold0001:61429-61548	34.1	100	100	0	0	0	0	100	100	0	100	0	100	100	100	0	100	0
HtScaffold0001:61549-61668	30.8	100	100	0	0	0	0	100	100	0	100	26.6667	100	100	96.6667	0	100	0
HtScaffold0001:61669-61788	30.0	100	100	0	0	0	0	100	98.3333	0	5	100	100	41.6667	0	0	100	0
HtScaffold0001:61789-61908	35.8	100	100	0	0	0	0	100	65.8333	0	0	100	100	0	0	0	100	0
HtScaffold0001:61909-62028	34.1	100	100	0	0	0	0	100	98.3333	0	0	34.1667	100	0	0	0	100	0
HtScaffold0001:62029-62148	38.3	100	100	0	0	12.5	0	100	99.1667	0	25	0	100	50	49.1667	0	100	0
HtScaffold0001:62149-62268	25.8	100	100	63.3333	0	100	0	100	100	28.3333	100	0	100	100	100	0	100	0
HtScaffold0001:62269-62388	29.1	100	100	100	0	100	65	100	100	100	100	53.3333	100	100	100	0	100	0
HtScaffold0001:62389-62508	36.6	100	100	100	0	100	100	100	100	100	100	100	100	100	100	0	100	0
HtScaffold0001:62509-62628	35.0	100	100	100	0	100	57.5	100	99.1667	35.8333	100	93.3333	100	100	100	0	100	0
HtScaffold0001:62629-62748	29.1	100	100	25	0	82.5	0	100	100	0	55	100	100	95	89.1667	0	100	0
HtScaffold0001:62749-62868	29.1	100	100	100	0	0	0	100	100	0	0	17.5	100	100	100	0	100	0
HtScaffold0001:62869-62988	30.0	100	100	100	0	0	0	100	100	0	0	0	100	100	100	0	100	0
HtScaffold0001:62989-63108	30.0	100	100	20.8333	0	0	0	100	18.3333	0	0	0	100	32.5	33.3333	0	100	0
HtScaffold0001:63109-63228	34.1	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:63168-63287	38.3	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:67145-67264	35.0	100	100	0	0	0	0	100	0	0	7.5	0	100	54.1667	49.1667	0	100	0
HtScaffold0001:67265-67384	28.3	100	100	35.8333	0	65.8333	0	100	0	35	100	0	100	100	100	0	100	0
HtScaffold0001:67385-67504	39.1	100	100	80.8333	0	100	0	100	95	96.6667	100	27.5	100	100	100	0	100	0
HtScaffold0001:67505-67624	32.5	100	100	0	0	59.1667	0	100	100	0	100	100	100	22.5	47.5	0	100	0
HtScaffold0001:67625-67744	34.1	100	100	0	0	65.8333	0	100	100	0	100	4.16667	100	40	0	0	100	0
HtScaffold0001:67745-67864	33.3	100	100	77.5	0	100	0	100	100	0	100	0	100	100	96.6667	0	100	0
HtScaffold0001:67865-67984	35.0	100	100	10.8333	0	1.66667	0	100	100	0	70.8333	89.1667	100	27.5	25	0	100	0
HtScaffold0001:67985-68104	36.6	100	100	0	0	0	0	100	100	25.8333	0	99.1667	100	42.5	0	0	100	0
HtScaffold0001:68105-68224	32.5	100	100	0	0	0	0	100	100	100	0	100	100	100	99.1667	0	100	0
HtScaffold0001:68225-68344	27.5	100	100	0	0	0	0	100	82.5	35.8333	0	35.8333	100	100	83.3333	0	100	0
HtScaffold0001:68345-68464	40.8	100	100	0	0	0	0	100	35.8333	0	0	0	100	100	46.6667	0	100	0
HtScaffold0001:68465-68584	42.5	100	100	0	0	0	0	100	100	0	0	0	100	91.6667	88.3333	0	100	0
HtScaffold0001:68585-68704	32.5	100	100	0	0	0	0	100	35.8333	0	0	51.6667	100	0	0	0	100	0
HtScaffold0001:68705-68824	36.6	100	100	0	0	0	0	100	0	0	0	70	100	0	0	0	100	0
HtScaffold0001:68740-68859	37.5	100	100	0	0	0	0	100	0	0	0	40.8333	100	0	0	0	100	0
HtScaffold0001:70638-70757	34.1	100	100	0	0	0	0	100	0	0	0	0	100	22.5	38.3333	0	99.1667	0
HtScaffold0001:70758-70877	27.5	100	100	0	0	0	0	100	0	0	0	0	100	100	100	0	100	0
HtScaffold0001:70878-70997	28.3	100	100	0	0	0	0	100	0	0	0	25.8333	100	30.8333	42.5	0	100	0
HtScaffold0001:70998-71117	28.3	100	100	0	0	0	0	89.1667	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:71118-71237	35.0	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:71238-71357	37.5	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:71358-71477	23.3	100	100	0	0	0	0	0	0	0	0	29.1667	100	0	0	0	13.3333	0
HtScaffold0001:71478-71597	36.6	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:71598-71717	30.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:71718-71837	34.1	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:71838-71957	32.5	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:71958-72077	38.3	100	100	0	0	0	0	0	0	0	0	20	100	0	0	0	100	0
HtScaffold0001:72078-72197	32.5	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:72183-72302	37.5	100	100	0	0	0	0	0	0	0	0	53.3333	100	0	0	0	100	0
HtScaffold0001:72389-72508	27.5	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:72509-72628	35.0	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:72629-72748	29.1	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:72749-72868	31.6	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:72869-72988	24.1	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:72911-73030	22.5	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:73093-73212	40.0	100	100	0	0	0	0	15.8333	0	0	0	55.8333	100	0	0	0	100	0
HtScaffold0001:73213-73332	30.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:73333-73452	40.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	91.6667	0
HtScaffold0001:73453-73572	32.5	100	100	0	0	0	0	0	0	0	0	37.5	100	0	0	0	0	0
HtScaffold0001:73573-73692	26.6	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	75.8333	0
HtScaffold0001:73693-73812	28.3	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:73813-73932	30.0	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:73933-74052	33.3	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:74053-74172	33.3	100	100	0	0	0	0	0	0	0	0	17.5	100	0	0	0	100	0
HtScaffold0001:74173-74292	38.3	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:74293-74412	30.8	100	100	0	0	0	0	0	0	0	0	88.3333	100	0	0	0	100	0
HtScaffold0001:74413-74532	35.8	100	100	0	0	0	0	0	0	0	0	94.1667	100	0	0	0	100	0
HtScaffold0001:74533-74652	32.5	100	100	0	0	0	0	0	0	0	0	67.5	100	0	0	0	100	0
HtScaffold0001:74653-74772	32.5	100	100	0	0	0	0	0	0	0	0	35	100	0	0	0	100	0
HtScaffold0001:74773-74892	39.1	100	100	0	0	0	0	0	0	0	0	74.1667	100	0	0	0	100	0
HtScaffold0001:74893-75012	39.1	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:75013-75132	33.3	100	100	0	0	0	0	0	0	0	0	56.6667	100	0	0	0	100	0
HtScaffold0001:75133-75252	33.3	100	100	0	0	0	0	0	0	0	0	0	100	0	50	0	100	0
HtScaffold0001:75253-75372	30.8	100	100	0	0	0	0	0	34.1667	0	0	15.8333	100	0	100	31.6667	100	0
HtScaffold0001:75373-75492	30.0	100	100	0	0	0	0	0	0	0	0	92.5	100	0	31.6667	0	100	0
HtScaffold0001:75493-75612	32.5	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:75613-75732	31.6	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:75733-75852	39.1	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:75853-75972	33.3	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:75973-76092	40.8	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:76093-76212	37.5	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:76213-76332	38.3	100	100	0	0	0	0	44.1667	0	0	8.33333	13.3333	100	4.16667	8.33333	0	100	0
HtScaffold0001:76333-76452	29.1	100	100	15	0	89.1667	0	100	0	0	100	100	100	100	100	0	100	0
HtScaffold0001:76453-76572	30.8	100	100	100	0	100	0	100	0	77.5	100	100	100	100	100	0	100	0
HtScaffold0001:76573-76692	36.6	100	100	59.1667	0	53.3333	0	100	0	40.8333	77.5	100	100	82.5	85.8333	0	100	0
HtScaffold0001:76693-76812	36.6	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:76813-76932	25.8	100	100	0	0	0	0	45.8333	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:76933-77052	33.3	100	100	0	0	0	0	28.3333	0	0	0	96.6667	100	0	0	0	100	0
HtScaffold0001:77053-77172	31.6	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:77173-77292	35.0	100	100	0	0	0	0	7.5	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:77293-77412	29.1	100	100	0	0	0	0	0	0	0	0	6.66667	100	0	0	0	100	0
HtScaffold0001:77413-77532	31.6	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:77533-77652	33.3	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:77653-77772	26.6	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:77773-77892	27.5	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	87.5	0
HtScaffold0001:77893-78012	5.0	37.5	5.83333	0	0	0	0	0	0	0	0	0	61.6667	0	0	0	0	0
HtScaffold0001:78013-78132	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HtScaffold0001:78133-78252	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HtScaffold0001:78253-78372	14.1	0	0	0	0	0	0	0	29.1667	0	0	0	4.16667	0	0	0	0	0
HtScaffold0001:78373-78492	13.3	83.3333	91.6667	0	0	0	0	0	5	0	0	0	100	0	0	0	0	0
HtScaffold0001:78493-78612	24.1	100	100	0	0	0	0	0	21.6667	0	0	76.6667	100	0	0	0	66.6667	0
HtScaffold0001:78613-78732	33.3	100	100	0	0	0	0	0	0	0	0	56.6667	100	0	0	0	100	0
HtScaffold0001:78733-78852	36.6	100	100	0	0	0	0	0	0	0	0	93.3333	100	0	0	0	100	0
HtScaffold0001:78853-78972	36.6	100	100	0	0	0	0	0	0	0	0	65	100	0	0	0	100	0
HtScaffold0001:78973-79092	31.6	100	100	0	0	0	0	0	0	0	0	30.8333	100	0	0	0	100	0
HtScaffold0001:79093-79212	27.5	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:79213-79332	35.8	100	100	0	0	0	0	0	0	0	0	78.3333	100	0	0	0	100	0
HtScaffold0001:79333-79452	35.8	100	100	0	0	0	0	0	0	0	0	98.3333	100	0	0	0	100	0
HtScaffold0001:79453-79572	30.0	100	100	0	0	0	0	0	0	0	0	0.833333	100	0	0	0	40.8333	0
HtScaffold0001:79573-79692	33.3	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	95	0
HtScaffold0001:79693-79812	24.1	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:79813-79932	26.6	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:79933-80052	35.8	100	100	0	0	0	0	0	0	0	0	60.8333	100	0	0	0	100	0
HtScaffold0001:80053-80172	34.1	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:80173-80292	35.0	100	100	0	0	0	0	0	0	0	0	45	100	0	0	0	100	0
HtScaffold0001:80293-80412	25.8	100	100	0	0	0	0	0	0	0	0	91.6667	100	0	0	0	100	0
HtScaffold0001:80413-80532	31.6	100	100	0	0	0	0	0	0	0	0	65	100	0	0	0	100	0
HtScaffold0001:80533-80652	31.6	100	100	0	0	0	0	0	0	0	0	64.1667	100	0	0	0	100	0
HtScaffold0001:80653-80772	34.1	100	100	0	0	0	0	0	0	0	0	11.6667	100	0	0	0	100	0
HtScaffold0001:80773-80892	30.0	100	100	0	0	0	0	0	0	0	0	91.6667	100	0	0	0	100	0
HtScaffold0001:80893-81012	36.6	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:81013-81132	39.1	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:81133-81252	40.0	100	100	0	0	0	0	0	0	0	0	51.6667	100	0	0	0	100	0
HtScaffold0001:81253-81372	35.0	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:81373-81492	28.3	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:81493-81612	27.5	100	100	0	0	0	3.33333	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:81613-81732	45.8	100	100	0	0	0	100	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:81733-81852	35.0	100	100	0	0	0	5.83333	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:81853-81972	28.3	100	100	0	0	0	0	0	0	0	0	81.6667	100	0	0	0	100	0
HtScaffold0001:81973-82092	37.5	100	100	0	0	0	0	0	0	0	0	27.5	100	0	0	0	100	0
HtScaffold0001:82046-82165	34.1	100	100	0	0	0	0	0	0	0	0	88.3333	100	0	0	0	100	0
HtScaffold0001:82203-82322	30.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:82323-82442	31.6	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:82443-82562	41.6	100	100	0	0	0	0	0	0	0	0	3.33333	100	0	0	0	100	0
HtScaffold0001:82563-82682	25.8	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	7.5	0
HtScaffold0001:82683-82802	29.1	100	100	0	0	0	0	0	0	0	0	50.8333	100	0	0	0	100	0
HtScaffold0001:82803-82922	30.0	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:82923-83042	32.5	100	100	0	0	0	0	0	0	0	0	78.3333	100	0	0	0	100	0
HtScaffold0001:83043-83162	35.0	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:83163-83282	30.0	100	100	0	0	0	0	0	0	0	0	90	100	0	0	0	100	0
HtScaffold0001:83283-83402	35.0	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:83403-83522	36.6	100	100	0	0	0	0	11.6667	0	0	0	37.5	100	0	0	0	100	0
HtScaffold0001:83523-83642	37.5	100	100	0	0	0	0	100	0	0	0	100	100	0	63.3333	0	100	0
HtScaffold0001:83643-83762	30.0	100	100	0	0	0	0	100	0	0	0	100	100	0	69.1667	0	100	0
HtScaffold0001:83763-83882	36.6	100	100	0	0	0	0	97.5	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:83883-84002	34.1	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:84003-84122	34.1	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:84123-84242	26.6	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:84243-84362	30.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:84363-84482	23.3	100	100	0	0	0	0	0	0	0	0	52.5	100	0	0	0	7.5	0
HtScaffold0001:84483-84602	9.1	37.5	22.5	0	0	0	0	0	0	0	0	0	3.33333	0	0	0	0	0
HtScaffold0001:84603-84722	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HtScaffold0001:84723-84842	9.1	22.5	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0
HtScaffold0001:84843-84962	13.3	100	76.6667	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
HtScaffold0001:84963-85082	33.3	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
HtScaffold0001:85024-85143	42.5	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
HtScaffold0001:99230-99349	39.1	100	100	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:99350-99469	34.1	100	100	0	0	0	0	55.8333	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:99470-99589	30.0	100	100	0	0	0	0	100	0	0	0	18.3333	100	0	0	0	100	0
HtScaffold0001:99590-99709	26.6	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:99710-99829	31.6	100	100	0	0	0	0	100	0	0	0	23.3333	100	0	0	0	100	0
HtScaffold0001:99830-99949	35.8	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:99950-100069	36.6	100	100	0	0	0	0	100	0	0	0	70	100	0	0	0	100	0
HtScaffold0002:11705-11824	23.3	100	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HtScaffold0002:13460-13579	17.5	100	77.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HtScaffold0002:13667-13786	31.6	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0002:13787-13906	35.0	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0002:13907-14026	34.1	100	100	0	0	0	0	100	0	0	0	75	100	0	0	0	100	0
HtScaffold0002:14027-14146	30.0	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	100	0
HtScaffold0002:14147-14266	30.0	100	100	0	0	0	0	100	0	0	0	71.6667	100	0	5.83333	0	100	0
HtScaffold0002:14267-14386	33.3	100	100	0	0	0	0	100	0	0	0	0	100	0	100	0	100	0
HtScaffold0002:14387-14506	28.3	100	100	0	0	0	0	100	0	0	0	0	100	0	76.6667	0	100	0
HtScaffold0002:14507-14626	37.5	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0002:14627-14746	31.6	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0002:14747-14866	23.3	100	100	0	0	0	0	100	0	0	0	39.1667	100	0	0	0	100	0
HtScaffold0002:14867-14986	30.8	100	100	0	0	0	0	35	0	0	0	100	100	0	0	0	100	0
HtScaffold0002:14987-15106	30.8	100	100	0	0	0	0	0	0	0	0	40	100	0	0	0	100	0
